Domain,Rank,Conference Title,Acronym,CFP_URL,Papers_URL,CFP_keyword_counts,CFP_matched_nodes,Papers_keyword_counts,Papers_matched_nodes,Include,Last_updated
Software engineering,A*,"ACM International Conference on the Foundations of Software Engineering (was ESEC/FSE, changed 2024; duplicate previously listed as ESEC, removed from DB)",FSE,https://conf.researchr.org/track/fse-2025/fse-2025-research-papers?#Call-for-Papers,https://conf.researchr.org/track/fse-2025/fse-2025-research-papers?#event-overview,"{""sustain*"": 1, ""green"": 2, ""energy"": 3, ""efficien*"": 11, ""life cycle"": 1, ""life-cycle"": 1, ""environment*"": 2}",Environmental;Sustainability Theme:Environmental;Techniques:Energy management & optimization,"{""sustain*"": 1, ""green"": 2, ""energy"": 3, ""efficien*"": 11, ""life cycle"": 1, ""life-cycle"": 1, ""environment*"": 2}",Environmental;Sustainability Theme:Environmental;Techniques:Energy management & optimization,Yes,2025-11-30T23:21:58.828623Z
Software engineering,A*,ACM-SIGACT Symposium on Principles of Programming Languages,POPL,https://popl25.sigplan.org/track/POPL-2025-popl-research-papers#POPL-2025-Call-for-Papers,https://popl25.sigplan.org/track/POPL-2025-popl-research-papers#event-overview,"{""sustain*"": 1, ""efficien*"": 9}",Sustainability Theme:Environmental,"{""sustain*"": 1, ""efficien*"": 9}",Sustainability Theme:Environmental,Yes,2025-11-30T23:22:02.207070Z
Software engineering,A*,ACM-SIGPLAN Conference on Programming Language Design and Implementation,PLDI,https://pldi25.sigplan.org/track/pldi-2025-papers#Call-for-Papers,https://pldi25.sigplan.org/track/pldi-2025-papers#event-overview,"{""sustain*"": 1, ""efficien*"": 14}",Sustainability Theme:Environmental,"{""sustain*"": 1, ""efficien*"": 14}",Sustainability Theme:Environmental,Yes,2025-11-30T23:22:04.697216Z
Software engineering,A*,Architectural Support for Programming Languages and Operating Systems,ASPLOS,https://www.asplos-conference.org/asplos2025/cfp.html#important_dates,https://dl.acm.org/doi/proceedings/10.1145/3676641#issue-downloads,,,,,Yes,2025-11-30T23:22:12.359620Z
Software engineering,A*,Automated Software Engineering Conference,ASE,https://conf.researchr.org/track/ssbse-2025/ssbse-2025-papers?#Call-for-Papers,https://conf.researchr.org/track/ssbse-2025/ssbse-2025-papers?#event-overview,"{""green"": 1}",Sustainability Theme:Environmental,"{""green"": 1}",Sustainability Theme:Environmental,Yes,2025-11-30T23:22:13.366184Z
Software engineering,A*,Computer Aided Verification,CAV,https://conferences.i-cav.org/2025/cfp/,https://conferences.i-cav.org/2025/accepted/,,,"{""efficien*"": 4}",,Yes,2025-11-30T23:22:15.302538Z
Software engineering,A*,International Conference on Software Engineering,ICSE,https://conf.researchr.org/track/cain-2025/cain-2025-call-for-papers,https://conf.researchr.org/track/cain-2025/cain-2025-call-for-papers#Papers-Accepted,"{""sustain*"": 1, ""green"": 2, ""energy"": 3, ""energy-eff*"": 3, ""efficien*"": 4, ""life cycle"": 3, ""life-cycle"": 3, ""environment*"": 3}",Environmental;Sustainability Theme:Environmental;Techniques:Energy management & optimization,"{""sustain*"": 1, ""green"": 2, ""energy"": 3, ""energy-eff*"": 3, ""efficien*"": 4, ""life cycle"": 3, ""life-cycle"": 3, ""environment*"": 3}",Environmental;Sustainability Theme:Environmental;Techniques:Energy management & optimization,Yes,2025-11-30T23:22:17.130573Z
Software engineering,A*,Measurement and Modeling of Computer Systems,SIGMETRICS,https://www.sigmetrics.org/sigmetrics2025/call_for_papers.html,https://www.sigmetrics.org/sigmetrics2025/accepted_papers.html,"{""sustain*"": 2, ""green"": 1, ""carbon"": 1, ""carbon footprint"": 1, ""energy"": 3, ""energy-eff*"": 2, ""efficien*"": 2}","Environmental;Sustainability Theme:Environmental;Techniques:Energy management & optimization;Techniques:Measurement, metrics & LCA","{""sustain*"": 2, ""efficien*"": 3}",Sustainability Theme:Environmental,Yes,2025-11-30T23:22:19.407771Z
Software engineering,A,ACM Conference on Object Oriented Programming Systems Languages and Applications,OOPSLA,https://2025.splashcon.org/track/OOPSLA?#Call-for-Papers,https://2025.splashcon.org/track/OOPSLA?#event-overview,"{""efficien*"": 23, ""environment*"": 1}",,"{""efficien*"": 23, ""environment*"": 1}",,Yes,2025-11-30T23:22:24.663257Z
Software engineering,A,European Conference on Object-Oriented Programming,ECOOP,https://2025.ecoop.org/track/ecoop-2025-technical-papers#Call-for-Papers,https://2025.ecoop.org/track/ecoop-2025-technical-papers#event-overview,"{""efficien*"": 5, ""environment*"": 1}",,"{""efficien*"": 5, ""environment*"": 1}",,Yes,2025-11-30T23:22:27.565935Z
Software engineering,A,European Conference on Software Architecture,ECSA,https://conf.researchr.org/track/ecsa-2025/ecsa-2025-call-for-research-papers#Call-for-Research-Papers,https://conf.researchr.org/track/ecsa-2025/ecsa-2025-call-for-research-papers#Accepted-Papers,"{""sustain*"": 5, ""energy"": 4, ""efficien*"": 3, ""environment*"": 2}",Environmental;Sustainability Theme:Environmental;Techniques:Energy management & optimization,"{""sustain*"": 5, ""energy"": 4, ""efficien*"": 3, ""environment*"": 2}",Environmental;Sustainability Theme:Environmental;Techniques:Energy management & optimization,Yes,2025-11-30T23:22:29.883463Z
Software engineering,A,European Symposium on Programming,ESOP,https://etaps.org/2025/conferences/esop/,https://link.springer.com/book/10.1007/978-3-031-91118-7,,,,,Yes,2025-11-30T23:22:32.079008Z
Software engineering,A,"IEEE International Conference on Program Comprehension (previously IWPC, changed in 2006)",ICPC,https://conf.researchr.org/track/icpc-2025/icpc-2025-research#Call-for-Papers,https://conf.researchr.org/track/icpc-2025/icpc-2025-research#event-overview,"{""green"": 1, ""efficien*"": 1, ""life cycle"": 1, ""life-cycle"": 1}",Sustainability Theme:Environmental,"{""green"": 1, ""efficien*"": 1, ""life cycle"": 1, ""life-cycle"": 1}",Sustainability Theme:Environmental,Yes,2025-11-30T23:22:34.473803Z
Software engineering,A,"IEEE International Conference on Software Analysis, Evolution and Reengineering",SANER,https://conf.researchr.org/track/saner-2025/saner-2025-papers#Call-for-Papers,https://conf.researchr.org/track/saner-2025/saner-2025-papers#event-overview,"{""green"": 1, ""energy"": 1, ""efficien*"": 6}",Environmental;Sustainability Theme:Environmental;Techniques:Energy management & optimization,"{""green"": 1, ""energy"": 1, ""efficien*"": 6}",Environmental;Sustainability Theme:Environmental;Techniques:Energy management & optimization,Yes,2025-11-30T23:22:36.649547Z
Software engineering,A,"IEEE International Conference on Software Maintenance and Evolution (prior to 2014 was ICSM, IEEE International Conference on Software Maintenance)",ICSME,https://conf.researchr.org/track/icsme-2025/icsme-2025-papers#Call-for-Papers,https://conf.researchr.org/track/icsme-2025/icsme-2025-papers#event-overview,"{""green"": 3, ""efficien*"": 4}",Sustainability Theme:Environmental,"{""green"": 3, ""efficien*"": 4}",Sustainability Theme:Environmental,Yes,2025-11-30T23:22:38.955933Z
Software engineering,A,IEEE International Requirements Engineering Conference,RE,https://conf.researchr.org/track/RE-2025/RE-2025-Research-Papers?#Call-for-Papers,https://conf.researchr.org/track/RE-2025/RE-2025-Research-Papers?#event-overview,"{""sustain*"": 4, ""efficien*"": 2}",Sustainability Theme:Environmental,"{""sustain*"": 4, ""efficien*"": 2}",Sustainability Theme:Environmental,Yes,2025-11-30T23:22:41.312842Z
Software engineering,A,IEEE International Working Conference on Mining Software Repositories,MSR,https://2025.msrconf.org/track/msr-2025-technical-papers?#Call-for-Papers,https://2025.msrconf.org/track/msr-2025-technical-papers?#event-overview,"{""sustain*"": 3, ""green"": 1, ""energy"": 2, ""efficien*"": 1, ""life cycle"": 5, ""life-cycle"": 5}",Environmental;Sustainability Theme:Environmental;Techniques:Energy management & optimization,"{""sustain*"": 3, ""green"": 1, ""energy"": 2, ""efficien*"": 1, ""life cycle"": 5, ""life-cycle"": 5}",Environmental;Sustainability Theme:Environmental;Techniques:Energy management & optimization,Yes,2025-11-30T23:22:43.551906Z
Software engineering,A,International Conference in Business Process Management,BPM,https://www.bpm2025seville.org/calls/research-papers/,https://link.springer.com/book/10.1007/978-3-032-02867-9,"{""environment*"": 2}",,"{""efficien*"": 2, ""environment*"": 2}",,Yes,2025-11-30T23:22:46.280761Z
Software engineering,A,International Conference on Evaluation and Assessment in Software Engineering,EASE,https://conf.researchr.org/track/ease-2025/ease-2025-research-papers?#Call-for-Papers,https://conf.researchr.org/track/ease-2025/ease-2025-research-papers?#event-overview,"{""sustain*"": 1, ""carbon"": 2, ""energy"": 4, ""efficien*"": 1, ""environment*"": 5}","Environmental;Sustainability Theme:Environmental;Techniques:Energy management & optimization;Techniques:Measurement, metrics & LCA","{""sustain*"": 1, ""carbon"": 2, ""energy"": 4, ""efficien*"": 1, ""environment*"": 5}","Environmental;Sustainability Theme:Environmental;Techniques:Energy management & optimization;Techniques:Measurement, metrics & LCA",Yes,2025-11-30T23:22:48.934611Z
Software engineering,A,International Conference on Functional Programming,ICFP,https://icfp25.sigplan.org/track/icfp-2025-papers?#Call-for-Papers,https://icfp25.sigplan.org/track/icfp-2025-papers?#event-overview,"{""sustain*"": 1, ""environment*"": 4}",Sustainability Theme:Environmental,"{""sustain*"": 1, ""environment*"": 4}",Sustainability Theme:Environmental,Yes,2025-11-30T23:22:51.241773Z
Software engineering,A,"International Conference on Model Driven Engineering Languages and Systems (Previously UML, changed in 2005)",MODELS,https://2025.models-conf.com/track/models-2025-research-papers#About,https://2025.models-conf.com/track/models-2025-research-papers#event-overview,"{""sustain*"": 2, ""energy"": 2, ""energy-eff*"": 2, ""efficien*"": 2, ""environment*"": 2}",Environmental;Sustainability Theme:Environmental;Techniques:Energy management & optimization,"{""sustain*"": 2, ""energy"": 2, ""energy-eff*"": 2, ""efficien*"": 2, ""environment*"": 2}",Environmental;Sustainability Theme:Environmental;Techniques:Energy management & optimization,Yes,2025-11-30T23:22:53.502100Z
Software engineering,A,International Conference on Software Architecture (was previously WICSA),ICSA,https://conf.researchr.org/track/icsa-2025/icsa-2025-papers?#Call-for-Papers,https://conf.researchr.org/track/icsa-2025/icsa-2025-papers?#event-overview,"{""sustain*"": 5, ""energy"": 12, ""energy-eff*"": 5, ""efficien*"": 6, ""life cycle"": 3, ""life-cycle"": 3, ""environment*"": 4}",Environmental;Sustainability Theme:Environmental;Techniques:Energy management & optimization,"{""sustain*"": 5, ""energy"": 12, ""energy-eff*"": 5, ""efficien*"": 6, ""life cycle"": 3, ""life-cycle"": 3, ""environment*"": 4}",Environmental;Sustainability Theme:Environmental;Techniques:Energy management & optimization,Yes,2025-11-30T23:22:55.931254Z
Software engineering,A,"International Conference on Software Testing, Verification and Validation",ICST,https://conf.researchr.org/track/icst-2025/icst-2025-papers?#Call-for-Papers,https://conf.researchr.org/track/icst-2025/icst-2025-papers?#event-overview,"{""energy"": 2, ""efficien*"": 1, ""environment*"": 2}",Environmental;Techniques:Energy management & optimization,"{""energy"": 2, ""efficien*"": 1, ""environment*"": 2}",Environmental;Techniques:Energy management & optimization,Yes,2025-11-30T23:22:58.285539Z
Software engineering,A,International Symposium on Code Generation and Optimization,CGO,https://2025.cgo.org/track/cgo-2025-papers?#Call-for-Papers,https://2025.cgo.org/track/cgo-2025-papers?#event-overview,"{""energy"": 2, ""efficien*"": 16}",Environmental;Techniques:Energy management & optimization,"{""energy"": 2, ""efficien*"": 16}",Environmental;Techniques:Energy management & optimization,Yes,2025-11-30T23:23:00.522271Z
Software engineering,A,International Symposium on Empirical Software Engineering and Measurement,ESEM,https://conf.researchr.org/track/esem-2025/esem-2025-technical-track#Call-for-Papers,https://conf.researchr.org/track/esem-2025/esem-2025-technical-track#event-overview,"{""sustain*"": 1}",Sustainability Theme:Environmental,"{""sustain*"": 1}",Sustainability Theme:Environmental,Yes,2025-11-30T23:23:02.989786Z
Software engineering,A,International Symposium on Formal Methods (was Formal Methods Europe FME),FM,https://www.fm24.polimi.it/?page_id=200,https://www.fm24.polimi.it/?page_id=612#research-pp,"{""sustain*"": 1, ""energy"": 1, ""environment*"": 2}",Environmental;Sustainability Theme:Environmental;Techniques:Energy management & optimization,"{""efficien*"": 3, ""life cycle"": 1, ""life-cycle"": 1, ""environment*"": 1}",,Yes,2025-11-30T23:23:05.086786Z
Software engineering,A,International Symposium on Software Engineering for Adaptive and Self-Managing Systems,SEAMS,https://conf.researchr.org/track/seams-2025/seams-2025-research-track#Call-for-Papers,https://conf.researchr.org/track/seams-2025/seams-2025-research-track#event-overview,"{""sustain*"": 3, ""environment*"": 4}",Sustainability Theme:Environmental,"{""sustain*"": 3, ""environment*"": 4}",Sustainability Theme:Environmental,Yes,2025-11-30T23:23:08.423954Z
Software engineering,A,International Symposium on Software Reliability Engineering,ISSRE,https://issre.github.io/2025/calls_cfp-research.html,https://issre.github.io/2025/program_research.html,"{""sustain*"": 1, ""green"": 1, ""life cycle"": 1, ""life-cycle"": 1}",Sustainability Theme:Environmental,"{""efficien*"": 4, ""environment*"": 1}",,Yes,2025-11-30T23:23:10.617499Z
Software engineering,A,International Symposium on Software Testing and Analysis,ISSTA,https://conf.researchr.org/track/issta-2025/issta-2025-papers#Call-for-Papers,https://conf.researchr.org/track/issta-2025/issta-2025-papers#event-overview,"{""efficien*"": 8}",,"{""efficien*"": 8}",,Yes,2025-11-30T23:23:12.355992Z
Software engineering,A,Tools and Algorithms for Construction and Analysis of Systems,TACAS,https://conf.researchr.org/track/issta-2025/issta-2025-papers#Call-for-Papers,https://etaps.org/2025/programme/#accepted-papers,"{""efficien*"": 8}",,"{""energy"": 2, ""efficien*"": 8, ""environment*"": 4}",Environmental;Techniques:Energy management & optimization,Yes,2025-11-30T23:23:14.955324Z
Distributed computing and systems software,A*,"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",SIGCOMM,https://conferences.sigcomm.org/sigcomm/2025/cfp/,https://conferences.sigcomm.org/sigcomm/2025/program/papers-info/,"{""energy"": 1, ""life cycle"": 1, ""life-cycle"": 1, ""environment*"": 1, ""environmental impact"": 1}",Environmental;Techniques:Energy management & optimization,"{""sustain*"": 1, ""green"": 1, ""carbon"": 12, ""carbon-aware"": 3, ""carbon footprint"": 2, ""energy"": 4, ""energy-eff*"": 1, ""low-power"": 3, ""efficien*"": 53, ""environment*"": 14}","Data, AI & Services;Domain:Devices & Hardware;Environmental;Sustainability Theme:Environmental;Techniques:Energy management & optimization;Techniques:Measurement, metrics & LCA;Techniques:Protocols & low-power networking;Techniques:Resource allocation & scheduling",Yes,2025-11-30T23:23:16.993780Z
Distributed computing and systems software,A*,ACM Conference on Embedded Networked Sensor Systems,SENSYS,https://sensys.acm.org/2025/cfp.html,https://dl.acm.org/doi/proceedings/10.1145/3715014,,,,,Yes,2025-11-30T23:23:26.673556Z
Distributed computing and systems software,A*,ACM International Conference on Mobile Computing and Networking,MOBICOM,https://www.sigmobile.org/mobisys/2025/call_for_papers/,https://www.sigmobile.org/mobisys/2025/accepted_papers/,"{""sustain*"": 3, ""carbon"": 1, ""carbon footprint"": 1, ""energy"": 5, ""low-power"": 2, ""efficien*"": 1}","Domain:Devices & Hardware;Environmental;Sustainability Theme:Environmental;Techniques:Energy management & optimization;Techniques:Measurement, metrics & LCA;Techniques:Protocols & low-power networking","{""energy"": 2, ""low-power"": 1, ""efficien*"": 3}",Domain:Devices & Hardware;Environmental;Techniques:Energy management & optimization;Techniques:Protocols & low-power networking,Yes,2025-11-30T23:23:27.681205Z
Distributed computing and systems software,A*,ACM SIGOPS Symposium on Operating Systems Principles,SOSP,https://sigops.org/s/conferences/sosp/2025/cfp.html,https://sigops.org/s/conferences/sosp/2025/accepted.html,,,"{""sustain*"": 1, ""efficien*"": 8}",Sustainability Theme:Environmental,Yes,2025-11-30T23:23:32.056765Z
Distributed computing and systems software,A*,ACM Symposium on Principles of Distributed Computing,PODC,https://www.podc.org/podc2025/call-for-papers/,https://www.podc.org/podc2025/list-of-accepted-papers/,,,"{""sustain*"": 1, ""energy"": 4, ""energy-eff*"": 2, ""efficien*"": 8}",Environmental;Sustainability Theme:Environmental;Techniques:Energy management & optimization,Yes,2025-11-30T23:23:42.927960Z
Distributed computing and systems software,A*,IEEE International Conference on Computer Communications,INFOCOM,https://infocom2025.ieee-infocom.org/authors/call-papers-main-conference,https://infocom2025.ieee-infocom.org/program/accepted-paper-list-main-conference,"{""green"": 1, ""environment*"": 1}",Sustainability Theme:Environmental,"{""sustain*"": 3, ""green"": 1, ""energy"": 5, ""energy-eff*"": 3, ""low-power"": 1, ""efficien*"": 25, ""offset"": 1, ""environment*"": 3}","Domain:Devices & Hardware;Environmental;Sustainability Theme:Environmental;Sustainability Theme:Governance, Policy & Standards;Techniques:Energy management & optimization;Techniques:Protocols & low-power networking",Yes,2025-11-30T23:23:47.528092Z
Distributed computing and systems software,A*,Information Processing in Sensor Networks,IPSN,nan,Same as SENSYS/ program is published only by sections,,,,,No,2025-11-30T23:23:50.940203Z
Distributed computing and systems software,A*,International World Wide Web Conference,WWW,https://www2025.thewebconf.org/research-tracks,https://dl.acm.org/doi/proceedings/10.1145/3696410,,,,,Yes,2025-11-30T23:23:55.257045Z
Distributed computing and systems software,A*,Real Time Systems Symposium,RTSS,https://2025.rtss.org/call-for-papers/index.html,https://2025.rtss.org/program/index.html,"{""energy"": 1, ""environment*"": 4}",Environmental;Techniques:Energy management & optimization,"{""energy"": 2, ""energy-eff*"": 1, ""efficien*"": 4}",Environmental;Techniques:Energy management & optimization,Yes,2025-11-30T23:23:56.269169Z
Distributed computing and systems software,A*,Usenix Symposium on Operating Systems Design and Implementation,OSDI,https://www.usenix.org/conference/osdi25/call-for-papers,https://dl.acm.org/doi/proceedings/10.5555/3767901,,,,,Yes,2025-11-30T23:24:02.475811Z
Distributed computing and systems software,A,ACM International Conference on Emerging Networking Experiments and Technologies,CoNEXT,https://conferences.sigcomm.org/co-next/2025/#!/cfp,https://conferences.sigcomm.org/co-next/2025/#!/program,"{""sustain*"": 1, ""energy-eff*"": 1, ""carbon"":1}",,"{""efficien*"": 4, ""carbon-aware"": 1}",,Yes,2025-11-30T23:24:20.638171Z
Distributed computing and systems software,A,ACM International Symposium on High Performance Distributed Computing,HPDC,https://hpdc.sci.utah.edu/2025/calls-cfp.html,https://dl.acm.org/doi/proceedings/10.1145/3731545,,,,,Yes,2025-11-30T23:24:24.656658Z
