Domain,Rank,Conference Title,Acronym,CFP_URL,Papers_URL,CFP_keyword_counts,CFP_matched_nodes,Papers_keyword_counts,Papers_matched_nodes,Include,Last_updated
Data management and data science,A*,ACM International Conference on Research and Development in Information Retrieval,SIGIR,https://sigir2025.dei.unipd.it/call-full-papers.html,https://sigir2025.dei.unipd.it/accepted-papers.html,"{""green"": 1, ""energy"": 1, ""energy-eff*"": 1, ""efficien*"": 4, ""environment*"": 1}",Environmental;Sustainability Theme:Environmental;Techniques:Energy management & optimization,"{""sustain*"": 1, ""efficien*"": 23, ""life cycle"": 1, ""life-cycle"": 1}",Sustainability Theme:Environmental,Yes,2025-12-01T12:10:39.956755Z
Data management and data science,A,ACM International Conference on Web Search and Data Mining,WSDM,https://www.wsdm-conference.org/2025/call-for-papers/,https://www.wsdm-conference.org/2025/accepted-papers/,,,"{""energy"": 3, ""efficien*"": 2}",Environmental;Techniques:Energy management & optimization,Yes,2025-12-01T12:10:42.323199Z
Data management and data science,A,ACM International Conference on Recommender Systems,RecSys,https://recsys.acm.org/recsys25/call/#content-tab-1-0-tab,https://recsys.acm.org/recsys25/accepted-contributions/,"{""sustain*"": 4, ""energy"": 1, ""environment*"": 6, ""eco"": 2}",Environmental;Sustainability Theme:Environmental;Techniques:Energy management & optimization,"{""sustain*"": 6, ""carbon"": 8, ""carbon footprint"": 6, ""efficien*"": 59, ""life cycle"": 1, ""life-cycle"": 1, ""environment*"": 20, ""environmental impact"": 3}","Environmental;Sustainability Theme:Environmental;Techniques:Measurement, metrics & LCA",Yes,2025-12-01T12:10:55.492509Z
Data management and data science,A,ACM International Conference on Information and Knowledge Management,CIKM,https://cikm2025.org/calls/full-research-papers,https://cikm2025.org/program/accepted-papers,"{""efficien*"": 2}",,"{""green"": 6, ""energy"": 1, ""efficien*"": 40, ""environment*"": 5, ""eco"": 1, ""climate"": 1}",Environmental;Sustainability Theme:Environmental;Sustainability Theme:Resilience & Adaptation;Techniques:Energy management & optimization,Yes,2025-12-01T12:11:01.253510Z
Data management and data science,A,European Conference on Information Retrieval,ECIR,https://ecir2025.eu/call-for-full-papers/,https://ecir2025.eu/accepted-papers/,"{""efficien*"": 1}",,"{""sustain*"": 1, ""energy"": 1, ""efficien*"": 14, ""environment*"": 1}",Environmental;Sustainability Theme:Environmental;Techniques:Energy management & optimization,Yes,2025-12-01T12:11:09.151848Z
Data management and data science,A,International Semantic Web Conference,ISWC,https://iswc2025.semanticweb.org/#/calls/research,"https://link.springer.com/book/10.1007/978-3-032-09527-5?page=1#toc, https://link.springer.com/book/10.1007/978-3-032-09527-5?page=2#toc",,,"{""efficien*"": 3, ""environment*"": 1}",,Yes,2025-12-01T12:11:33.645461Z
Distributed computing and systems software,A*,"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",SIGCOMM,https://conferences.sigcomm.org/sigcomm/2025/cfp/,https://conferences.sigcomm.org/sigcomm/2025/accepted-papers/,"{""energy"": 1, ""life cycle"": 1, ""life-cycle"": 1, ""environment*"": 1, ""environmental impact"": 1}",Environmental;Techniques:Energy management & optimization,"{""green"": 1, ""carbon"": 1, ""efficien*"": 7}","Environmental;Sustainability Theme:Environmental;Techniques:Measurement, metrics & LCA",Yes,2025-12-01T12:11:40.117219Z
Distributed computing and systems software,A*,ACM Conference on Embedded Networked Sensor Systems,SENSYS,https://sensys.acm.org/2025/cfp.html,https://dl.acm.org/doi/proceedings/10.1145/3715014,,,,,Yes,2025-12-01T12:11:49.730890Z
Distributed computing and systems software,A*,ACM International Conference on Mobile Computing and Networking,MOBICOM,https://www.sigmobile.org/mobisys/2025/call_for_papers/,https://www.sigmobile.org/mobicom/2025/accepted.html,"{""sustain*"": 3, ""carbon"": 1, ""carbon footprint"": 1, ""energy"": 5, ""low-power"": 2, ""efficien*"": 1}","Domain:Devices & Hardware;Environmental;Sustainability Theme:Environmental;Techniques:Energy management & optimization;Techniques:Measurement, metrics & LCA;Techniques:Protocols & low-power networking","{""energy"": 3, ""energy-eff*"": 1, ""low-power"": 4, ""efficien*"": 4, ""environment*"": 1}",Domain:Devices & Hardware;Environmental;Techniques:Energy management & optimization;Techniques:Protocols & low-power networking,Yes,2025-12-01T12:11:50.739559Z
Distributed computing and systems software,A*,IEEE International Conference on Computer Communications,INFOCOM,https://infocom2025.ieee-infocom.org/authors/call-papers-main-conference,https://infocom2025.ieee-infocom.org/program/accepted-paper-list-main-conference,"{""green"": 1, ""environment*"": 1}",Sustainability Theme:Environmental,"{""sustain*"": 3, ""green"": 1, ""energy"": 5, ""energy-eff*"": 3, ""low-power"": 1, ""efficien*"": 25, ""offset"": 1, ""environment*"": 3}","Domain:Devices & Hardware;Environmental;Sustainability Theme:Environmental;Sustainability Theme:Governance, Policy & Standards;Techniques:Energy management & optimization;Techniques:Protocols & low-power networking",Yes,2025-12-01T12:11:59.411556Z
Distributed computing and systems software,A*,Information Processing in Sensor Networks,IPSN, https://sensys.acm.org/2025/cfp.html,https://dl.acm.org/doi/proceedings/10.1145/3715014,,,,,Yes,2025-12-01T12:12:06.866732Z
Distributed computing and systems software,A*,International World Wide Web Conference,WWW,https://www2025.thewebconf.org/research-tracks,https://www2025.thewebconf.org/full-schedule,"{""sustain*"": 1, ""energy"": 1, ""efficien*"": 2, ""environment*"": 2}",Environmental;Sustainability Theme:Environmental;Techniques:Energy management & optimization,,,Yes,2025-12-01T12:12:07.875184Z
Distributed computing and systems software,A,ACM International Conference on Emerging Networking Experiments and Technologies,CoNEXT,https://conferences.sigcomm.org/co-next/2025/#!/cfp,https://conferences.sigcomm.org/co-next/2025/#!/program,,,,,Yes,2025-12-01T12:12:17.849675Z
Distributed computing and systems software,A,ACM Symposium on Mobile Ad Hoc Networking and Computing,MOBIHOC,https://www.sigmobile.org/mobihoc/2025/cfp.html,https://www.sigmobile.org/mobihoc/2025/accepted-papers.html,,,,,Yes,2025-12-01T12:12:18.857632Z
Distributed computing and systems software,A,"ACM/IEEE International Conference on Modelling, Analysis and Simulation of Wireless and Mobile Systems",MSWIM,https://mswimconf.com/2025/cfp.html,https://mswimconf.com/2025/program.html,"{""energy"": 1, ""energy-eff*"": 1, ""efficien*"": 1}",Environmental;Techniques:Energy management & optimization,"{""sustain*"": 3, ""energy"": 8, ""energy-eff*"": 3, ""efficien*"": 5, ""environment*"": 1}",Environmental;Sustainability Theme:Environmental;Techniques:Energy management & optimization,Yes,2025-12-01T12:12:28.158523Z
Distributed computing and systems software,A,IEEE International Conference on Web Services,ICWS,https://services.conferences.computer.org/2025/icws-2025/icws-call-for-papers/,https://services.conferences.computer.org/2025/icws-program/,,,,,Yes,2025-12-01T12:12:37.869620Z
Distributed computing and systems software,A,IEEE/IFIP International Conference on Dependable Systems and Networks,DSN,https://dsn2026.github.io/cfpapers.html,https://dsn2025.github.io/cpaccepted.html,"{""environment*"": 1}",,"{""energy"": 4, ""energy-eff*"": 1, ""efficien*"": 2, ""environment*"": 4}",Environmental;Techniques:Energy management & optimization,Yes,2025-12-01T12:12:38.879782Z
Distributed computing and systems software,A,Internet Measurement Conference,IMC,https://conferences.sigcomm.org/imc/2025/cfp/,https://conferences.sigcomm.org/imc/2025/accepted-papers/,"{""green"": 1, ""energy"": 1}",Environmental;Sustainability Theme:Environmental;Techniques:Energy management & optimization,"{""energy"": 1, ""efficien*"": 3}",Environmental;Techniques:Energy management & optimization,Yes,2025-12-01T12:12:40.734639Z
Human-centred computing,A*,IEEE International Conference on Pervasive Computing and Communications,PERCOM,https://percom.org/call-for-papers/,https://percom.org/2025/tech-prog-main-conference/,"{""energy"": 1, ""environment*"": 1}",Environmental;Techniques:Energy management & optimization,"{""sustain*"": 2, ""energy"": 1, ""efficien*"": 1, ""environment*"": 1}",Environmental;Sustainability Theme:Environmental;Techniques:Energy management & optimization,Yes,2025-12-01T12:12:45.357433Z
Cybersecurity and privacy,A*,Usenix Network and Distributed System Security Symposium,NDSS,https://www.ndss-symposium.org/ndss2025/submissions/call-for-papers/,https://www.ndss-symposium.org/ndss2025/accepted-papers/,"{""efficien*"": 1}",,"{""efficien*"": 3, ""environment*"": 1}",,Yes,2025-12-01T12:12:51.645705Z
