No.,Domain,Rank,Conference Title,Acronym,CFP_URL,Papers_URL,Year,Include
1,Artificial intelligence,A*,ACM Conference on Economics and Computation,EC,https://ec25.sigecom.org/call-for-contributions-acm/papers/,https://ec25.sigecom.org/program/accepted-papers/,2025,Yes
2,Artificial intelligence,A*,Association for Computational Linguistics,ACL,https://2025.aclweb.org/calls/main_conference_papers/,https://2025.aclweb.org/program/main_papers/,2025,Yes
3,Artificial intelligence,A*,Empirical Methods in Natural Language Processing,EMNLP,https://2025.emnlp.org/calls/main_conference_papers/,https://aclanthology.org/events/emnlp-2025/#2025emnlp-main,2025,Yes
4,Artificial intelligence,A*,IEEE International Conference on Robotics and Automation,ICRA,https://www.ieee-ras.org/conferences-workshops/fully-sponsored/icra/keywords,Accepted papers not found,2025,Yes
5,Artificial intelligence,A*,International Conference on Automated Planning and Scheduling,ICAPS,https://icaps25.icaps-conference.org/calls/main_track/,https://icaps25.icaps-conference.org/program/accepted/,2025,Yes
6,Artificial intelligence,A*,International Conference on the Principles of Knowledge Representation and Reasoning,KR,https://kr.org/KR2025/call_main_track.html,https://kr.org/KR2025/accepted.html,2025,Yes
7,Artificial intelligence,A*,International Joint Conference on Artificial Intelligence,IJCAI,https://2025.ijcai.org/call-for-papers-main-track/,https://2025.ijcai.org/montreal-main-track-accepted-papers/,2025,Yes
8,Artificial intelligence,A*,"International Joint Conference on Autonomous Agents and Multiagent Systems (previously the International Conference on Multiagent Systems, ICMAS, changed in 2000)",AAMAS,https://aamas2025.org/index.php/conference/calls/call-for-papers-main-technical-track/,https://aamas2025.org/index.php/conference/program/accepted-papers/,2025,Yes
9,Artificial intelligence,A*,National Conference of the American Association for Artificial Intelligence,AAAI,https://aaai.org/conference/aaai/aaai-25/iaai-25-call/,https://aaai.org/wp-content/uploads/2025/02/AAAI-25-Main-Track-Oral-Talks-Schedule-2.22.pdf,2025,Yes
10,Artificial intelligence,A,Conference in Uncertainty in Artificial Intelligence,UAI,https://www.auai.org/uai2025/call_for_papers,https://www.auai.org/uai2025/accepted_papers,2025,Yes
11,Artificial intelligence,A,European Association for Computational Linguistics,EACL,https://2024.eacl.org/calls/papers/,https://2024.eacl.org/program/main-accepted/,2024,Yes
